name,slug,value,date_of_information,ranking,region
"United States","united-states","$3,832,000,000,000","2023",1,"North America"
"China","china","$3,125,000,000,000","2023",2,"East and Southeast Asia"
"Germany","germany","$1,927,000,000,000","2023",3,"Europe"
"United Kingdom","united-kingdom","$1,116,000,000,000","2023",4,"Europe"
"France","france","$1,099,000,000,000","2023",5,"Europe"
"Japan","japan","$989,843,000,000","2023",6,"East and Southeast Asia"
"India","india","$859,485,000,000","2023",7,"South Asia"
"Netherlands","netherlands","$825,799,000,000","2023",8,"Europe"
"Korea, South","korea-south","$761,102,000,000","2023",9,"East and Southeast Asia"
"Italy","italy","$756,154,000,000","2023",10,"Europe"
"Canada","canada","$726,139,000,000","2023",11,"North America"
"Singapore","singapore","$686,656,000,000","2023",12,"East and Southeast Asia"
"Mexico","mexico","$673,828,000,000","2023",13,"North America"
"Hong Kong","hong-kong","$670,085,000,000","2023",14,"East and Southeast Asia"
"Switzerland","switzerland","$554,358,000,000","2023",15,"Europe"
"Spain","spain","$550,576,000,000","2023",16,"Europe"
"Ireland","ireland","$548,827,000,000","2023",17,"Europe"
"Belgium","belgium","$545,471,000,000","2023",18,"Europe"
"Poland","poland","$419,701,000,000","2023",19,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$386,828,000,000","2023",20,"Middle East"
"Russia","russia","$378,615,000,000","2023",21,"Central Asia"
"Australia","australia","$363,573,000,000","2023",22,"Australia and Oceania"
"Brazil","brazil","$346,639,000,000","2023",23,"South America"
"Vietnam","vietnam","$339,767,000,000","2023",24,"East and Southeast Asia"
"Thailand","thailand","$328,009,000,000","2023",25,"East and Southeast Asia"
"Taiwan","taiwan","$308,744,000,000","2019",26,"East and Southeast Asia"
"Sweden","sweden","$296,796,000,000","2023",27,"Europe"
"Saudi Arabia","saudi-arabia","$291,565,000,000","2023",28,"Middle East"
"Austria","austria","$288,146,000,000","2023",29,"Europe"
"Malaysia","malaysia","$283,601,000,000","2022",30,"East and Southeast Asia"
"Indonesia","indonesia","$264,426,000,000","2023",31,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$246,886,000,000","2020",32,"Middle East"
"Denmark","denmark","$240,269,000,000","2023",33,"Europe"
"Czechia","czechia","$219,393,000,000","2023",34,"Europe"
"Hungary","hungary","$161,558,000,000","2023",35,"Europe"
"Norway","norway","$157,032,000,000","2023",36,"Europe"
"Romania","romania","$154,106,000,000","2023",37,"Europe"
"Philippines","philippines","$150,269,000,000","2023",38,"East and Southeast Asia"
"Luxembourg","luxembourg","$146,807,000,000","2023",39,"Europe"
"Israel","israel","$137,567,000,000","2023",40,"Middle East"
"Portugal","portugal","$133,006,000,000","2023",41,"Europe"
"Finland","finland","$124,221,000,000","2023",42,"Europe"
"South Africa","south-africa","$123,541,000,000","2023",43,"Africa"
"Slovakia","slovakia","$118,869,000,000","2023",44,"Europe"
"Greece","greece","$117,922,000,000","2023",45,"Europe"
"Iran","iran","$102,470,000,000","2022",46,"Middle East"
"Chile","chile","$99,808,000,000","2023",47,"South America"
"Egypt","egypt","$97,144,000,000","2022",48,"Africa"
"Somalia","somalia","$94,430,000,000","2018",49,"Africa"
"Argentina","argentina","$92,574,000,000","2023",50,"South America"
"Ukraine","ukraine","$88,488,000,000","2023",51,"Europe"
"Colombia","colombia","$75,983,000,000","2023",52,"South America"
"Morocco","morocco","$73,783,000,000","2022",53,"Africa"
"Bangladesh","bangladesh","$73,172,000,000","2023",54,"South Asia"
"Nigeria","nigeria","$72,251,000,000","2023",55,"Africa"
"Qatar","qatar","$72,174,000,000","2023",56,"Middle East"
"Kazakhstan","kazakhstan","$71,811,000,000","2023",57,"Central Asia"
"Iraq","iraq","$69,162,000,000","2022",58,"Middle East"
"New Zealand","new-zealand","$68,429,000,000","2023",59,"Australia and Oceania"
"Kuwait","kuwait","$63,430,000,000","2023",60,"Middle East"
"Peru","peru","$62,990,000,000","2023",61,"South America"
"Bulgaria","bulgaria","$58,790,000,000","2023",62,"Europe"
"Lithuania","lithuania","$58,104,000,000","2023",63,"Europe"
"Pakistan","pakistan","$57,806,000,000","2023",64,"South Asia"
"Slovenia","slovenia","$52,826,000,000","2023",65,"Europe"
"Algeria","algeria","$51,516,000,000","2023",66,"Africa"
"Puerto Rico","puerto-rico","$51,509,000,000","2022",67,"Central America and the Caribbean"
"Serbia","serbia","$48,216,000,000","2023",68,"Europe"
"Belarus","belarus","$47,398,000,000","2023",69,"Europe"
"Croatia","croatia","$46,571,000,000","2023",70,"Europe"
"Oman","oman","$46,326,000,000","2022",71,"Middle East"
"Uzbekistan","uzbekistan","$42,098,000,000","2023",72,"Central Asia"
"Panama","panama","$36,135,000,000","2023",73,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","$34,455,000,000","2023",74,"Central America and the Caribbean"
"Ecuador","ecuador","$34,447,000,000","2023",75,"South America"
"Guatemala","guatemala","$33,041,000,000","2023",76,"Central America and the Caribbean"
"Bahrain","bahrain","$32,374,000,000","2023",77,"Middle East"
"Estonia","estonia","$31,701,000,000","2023",78,"Europe"
"Jordan","jordan","$29,955,000,000","2022",79,"Middle East"
"Latvia","latvia","$29,626,000,000","2023",80,"Europe"
"Cambodia","cambodia","$29,420,000,000","2023",81,"East and Southeast Asia"
"Cyprus","cyprus","$29,091,000,000","2023",82,"Europe"
"Costa Rica","costa-rica","$28,441,000,000","2023",83,"Central America and the Caribbean"
"Ghana","ghana","$26,329,000,000","2022",84,"Africa"
"Libya","libya","$25,406,000,000","2021",85,"Africa"
"Azerbaijan","azerbaijan","$25,016,000,000","2023",86,"Middle East"
"Kenya","kenya","$24,406,000,000","2022",87,"Africa"
"Malta","malta","$23,883,000,000","2022",88,"Europe"
"Angola","angola","$23,676,000,000","2023",89,"Africa"
"Lebanon","lebanon","$23,313,000,000","2023",90,"Middle East"
"Burma","burma","$23,100,000,000","2021",91,"East and Southeast Asia"
"Ethiopia","ethiopia","$22,951,000,000","2023",92,"Africa"
"Tunisia","tunisia","$22,500,000,000","2022",93,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$22,193,000,000","2021",94,"Africa"
"Macau","macau","$21,795,000,000","2022",95,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","$19,948,000,000","2022",96,"Africa"
"Uruguay","uruguay","$18,865,000,000","2023",97,"South America"
"Sri Lanka","sri-lanka","$18,823,000,000","2023",98,"South Asia"
"Venezuela","venezuela","$18,432,000,000","2018",99,"South America"
"Paraguay","paraguay","$17,906,000,000","2023",100,"South America"
"Honduras","honduras","$17,861,000,000","2023",101,"Central America and the Caribbean"
"Georgia","georgia","$17,791,000,000","2023",102,"Middle East"
"El Salvador","el-salvador","$17,032,000,000","2023",103,"Central America and the Caribbean"
"Tanzania","tanzania","$16,674,000,000","2022",104,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$15,398,000,000","2023",105,"Europe"
"Armenia","armenia","$14,279,000,000","2023",106,"Middle East"
"Nepal","nepal","$14,098,000,000","2023",107,"South Asia"
"Mongolia","mongolia","$13,545,000,000","2023",108,"East and Southeast Asia"
"Iceland","iceland","$13,484,000,000","2023",109,"Europe"
"Bolivia","bolivia","$13,130,000,000","2023",110,"South America"
"North Macedonia","north-macedonia","$12,745,000,000","2023",111,"Europe"
"Senegal","senegal","$12,278,000,000","2021",112,"Africa"
"Gaza Strip","gaza-strip","$12,257,000,000","2022",113,"Middle East"
"West Bank","west-bank","$12,257,000,000","2022",114,"Middle East"
"Sudan","sudan","$11,575,000,000","2022",115,"Africa"
"Mozambique","mozambique","$11,180,000,000","2023",116,"Africa"
"Uganda","uganda","$11,145,000,000","2022",117,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","$10,694,000,000","2022",118,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","$10,655,000,000","2022",119,"Central Asia"
"Nicaragua","nicaragua","$10,517,000,000","2023",120,"Central America and the Caribbean"
"Albania","albania","$10,373,000,000","2023",121,"Europe"
"Zimbabwe","zimbabwe","$10,126,000,000","2022",122,"Africa"
"Brunei","brunei","$10,106,000,000","2022",123,"East and Southeast Asia"
"Zambia","zambia","$10,022,000,000","2022",124,"Africa"
"Moldova","moldova","$9,867,000,000","2023",125,"Europe"
"Cameroon","cameroon","$9,759,000,000","2022",126,"Africa"
"Jamaica","jamaica","$9,726,000,000","2022",127,"Central America and the Caribbean"
"Botswana","botswana","$8,700,000,000","2022",128,"Africa"
"Namibia","namibia","$8,281,000,000","2023",129,"Africa"
"Cuba","cuba","$8,067,000,000","2020",130,"Central America and the Caribbean"
"Mauritius","mauritius","$8,038,000,000","2023",131,"Africa"
"Mali","mali","$7,942,000,000","2022",132,"Africa"
"Laos","laos","$7,772,000,000","2022",133,"East and Southeast Asia"
"Kosovo","kosovo","$7,362,000,000","2023",134,"Europe"
"Guyana","guyana","$7,067,000,000","2022",135,"South America"
"Afghanistan","afghanistan","$6,983,000,000","2020",136,"South Asia"
"Burkina Faso","burkina-faso","$6,761,000,000","2022",137,"Africa"
"Syria","syria","$6,553,000,000","2021",138,"Middle East"
"South Sudan","south-sudan","$6,402,000,000","2022",139,"Africa"
"Papua New Guinea","papua-new-guinea","$6,303,000,000","2021",140,"East and Southeast Asia"
"Turkmenistan","turkmenistan","$6,250,000,000","2021",141,"Central Asia"
"Madagascar","madagascar","$6,041,000,000","2022",142,"Africa"
"Tajikistan","tajikistan","$5,931,000,000","2023",143,"Central Asia"
"Rwanda","rwanda","$5,783,000,000","2023",144,"Africa"
"Mauritania","mauritania","$5,770,000,000","2022",145,"Africa"
"Guinea","guinea","$5,749,000,000","2022",146,"Africa"
"Bahamas, The","bahamas-the","$5,692,000,000","2022",147,"Central America and the Caribbean"
"Haiti","haiti","$5,451,000,000","2022",148,"Central America and the Caribbean"
"Montenegro","montenegro","$5,163,000,000","2023",149,"Europe"
"Djibouti","djibouti","$5,096,000,000","2022",150,"Africa"
"Chad","chad","$5,028,000,000","2022",151,"Africa"
"Benin","benin","$4,925,000,000","2021",152,"Africa"
"Maldives","maldives","$4,904,000,000","2022",153,"South Asia"
"Congo, Republic of the","congo-republic-of-the","$4,487,000,000","2021",154,"Africa"
"Equatorial Guinea","equatorial-guinea","$4,297,000,000","2022",155,"Africa"
"Niger","niger","$4,194,000,000","2022",156,"Africa"
"Yemen","yemen","$4,079,000,000","2017",157,"Middle East"
"Virgin Islands","virgin-islands","$4,065,000,000","2021",158,"Central America and the Caribbean"
"Malawi","malawi","$3,706,000,000","2022",159,"Africa"
"Guam","guam","$3,667,000,000","2021",160,"Australia and Oceania"
"Gabon","gabon","$3,499,000,000","2022",161,"Africa"
"Fiji","fiji","$3,434,000,000","2022",162,"Australia and Oceania"
"San Marino","san-marino","$2,934,000,000","2021",163,"Europe"
"Curacao","curacao","$2,904,000,000","2022",164,"Central America and the Caribbean"
"Cayman Islands","cayman-islands","$2,743,000,000","2021",165,"Central America and the Caribbean"
"Andorra","andorra","$2,440,000,000","2022",166,"Europe"
"Seychelles","seychelles","$2,437,000,000","2023",167,"Africa"
"Aruba","aruba","$2,429,000,000","2022",168,"Central America and the Caribbean"
"Togo","togo","$2,389,000,000","2020",169,"Africa"
"Korea, North","korea-north","$2,320,000,000","2018",170,"East and Southeast Asia"
"Eswatini","eswatini","$2,288,000,000","2022",171,"Africa"
"New Caledonia","new-caledonia","$2,260,000,000","2021",172,"Australia and Oceania"
"Liechtenstein","liechtenstein","$2,230,000,000","2014",173,"Europe"
"Faroe Islands","faroe-islands","$2,223,000,000","2022",174,"Europe"
"Suriname","suriname","$2,218,000,000","2023",175,"South America"
"Barbados","barbados","$2,120,000,000","2021",176,"Central America and the Caribbean"
"Lesotho","lesotho","$2,058,000,000","2023",177,"Africa"
"Sierra Leone","sierra-leone","$2,013,000,000","2022",178,"Africa"
"Liberia","liberia","$1,961,000,000","2022",179,"Africa"
"Bermuda","bermuda","$1,925,000,000","2021",180,"North America"
"Bhutan","bhutan","$1,754,000,000","2023",181,"South Asia"
"French Polynesia","french-polynesia","$1,660,000,000","2021",182,"Australia and Oceania"
"Greenland","greenland","$1,609,000,000","2021",183,"North America"
"Belize","belize","$1,571,000,000","2023",184,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","$1,424,000,000","2023",185,"Africa"
"Monaco","monaco","$1,371,000,000","2017",186,"Europe"
"Sint Maarten","sint-maarten","$1,318,000,000","2022",187,"Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","$1,300,000,000","2023",188,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","$1,274,000,000","2023",189,"Central America and the Caribbean"
"Timor-Leste","timor-leste","$1,179,000,000","2023",190,"East and Southeast Asia"
"Eritrea","eritrea","$1,127,000,000","2017",191,"Africa"
"Grenada","grenada","$1,021,000,000","2023",192,"Central America and the Caribbean"
"Burundi","burundi","$905,294,000","2018",193,"Africa"
"Solomon Islands","solomon-islands","$883,611,000","2023",194,"Australia and Oceania"
"Gambia, The","gambia-the","$829,516,000","2022",195,"Africa"
"Central African Republic","central-african-republic","$784,669,000","2022",196,"Africa"
"American Samoa","american-samoa","$677,000,000","2022",197,"Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$674,134,000","2023",198,"Central America and the Caribbean"
"Vanuatu","vanuatu","$579,347,000","2022",199,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","$577,899,000","2022",200,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$566,477,000","2023",201,"Central America and the Caribbean"
"Samoa","samoa","$560,488,000","2023",202,"Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","$544,219,000","2018",203,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","$536,000,000","2020",204,"Australia and Oceania"
"Comoros","comoros","$479,940,000","2022",205,"Africa"
"Dominica","dominica","$414,130,000","2023",206,"Central America and the Caribbean"
"Tonga","tonga","$332,743,000","2022",207,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","$300,000,000","2017",208,"Central America and the Caribbean"
"Kiribati","kiribati","$254,438,000","2022",209,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$219,322,000","2022",210,"Africa"
"Palau","palau","$216,681,000","2022",211,"Australia and Oceania"
"Cook Islands","cook-islands","$215,000,000","2021",212,"Australia and Oceania"
"Marshall Islands","marshall-islands","$206,025,000","2021",213,"Australia and Oceania"
"Anguilla","anguilla","$186,200,000","2017",214,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","$126,000,000","2021",215,"Australia and Oceania"
"Nauru","nauru","$94,200,000","2021",216,"Australia and Oceania"
"Tuvalu","tuvalu","$57,388,000","2022",217,"Australia and Oceania"
"Niue","niue","$43,800,000","2021",218,"Australia and Oceania"
"Tokelau","tokelau","$15,792,720","2015",219,"Australia and Oceania"
"Montserrat","montserrat","$15,300,000","2021",220,"Central America and the Caribbean"